[["40c"],0] NaN
[[17,9,7,2],0] 2
[[17,9,6,3],0] 2
[[17,9,6,2,1],0] 0
[[17,9,5,5],0] 1
[[17,9,4,4,1],0] 0
[[17,9,4,3,2],0] 0
[[17,9,4,1,1],0] 0
[[17,9,4],0] 0
[[17,9,3,3,1,1],0] 1
[[17,9,3,3],0] 1
[[17,9,3,2,1],0] 2
[[17,9,2,2,2,2],0] 0
[[17,9,2,2,1,1],0] 0
[[17,9,2,2],0] 0
[[17,9,1,1,1,1,1],0] 1
[[17,9,1,1,1],0] 1
[[17,9,1],0] 1
[[17,8,5,4],0] 0
[[17,8,5,3,2],0] 0
[[17,8,5,1,1,1],0] 0
[[17,8,5,1],0] 0
[[17,7,7,5],0] 1
[[17,7,5,3,1],0] 1
[[17,7,5,2,1,1],0] 2
[[17,7,5,2],0] 2
[[17,6,6,5],0] 0
[[17,6,5,4,2],0] 0
[[17,6,5,3,1,1],0] 2
[[17,6,5,3],0] 2
[[17,6,5,2,1,1,1],0] 0
[[17,6,5,2,1],0] 0
[[17,5,5,5,1,1],0] 1
[[17,5,5,5],0] 1
[[17,5,4,4,2,2],0] 0
[[17,5,4,4,1,1],0] 0
[[17,5,4,4],0] 0
[[17,5,4,3,3,1],0] 0
[[17,5,4,3,2,1,1],0] 0
[[17,5,4,3,2],0] 0
[[17,5,4,2,2,1],0] 0
[[17,5,4,1,1,1,1,1],0] 0
[[17,5,4,1,1,1],0] 0
[[17,5,4,1],0] 0
[[17,5,3,3,3,3],0] 1
[[17,5,3,3,2,2],0] 0
[[17,5,3,3,1,1,1,1],0] 1
[[17,5,3,3,1,1],0] 1
[[17,5,3,3],0] 1
[[17,5,3,2,2,2,1],0] 0
[[17,5,3,2,1,1,1],0] 2
[[17,5,3,2,1],0] 2
[[17,5,2,2,2,2,1,1],0] 0
[[17,5,2,2,2,2],0] 0
[[17,5,2,2,1,1,1,1],0] 0
[[17,5,2,2,1,1],0] 0
[[17,5,2,2],0] 0
[[17,5,1,1,1,1,1,1,1,1],0] 1
[[17,5,1,1,1,1,1,1],0] 1
[[17,5,1,1,1,1],0] 1
[[17,5,1,1],0] 1
[[17,5],0] 1
[[16,16,2,2],0] 0
[[16,16,1,1],0] 0
[[16,16],0] 0
[[16,14,6],0] 0
[[16,14,4,2],0] 0
[[16,14,3,1,1],0] 0
[[16,14,3],0] 0
[[16,14,2,1],0] 0
[[16,13,4,1],0] 0
[[16,13,3,3],0] 0
[[16,13,3,2,1],0] 0
[[16,13,2,2],0] 0
[[16,13,1,1,1,1],0] 0
[[16,13,1,1],0] 0
[[16,13],0] 0
[[16,12,5,1],0] 0
[[16,11,5,3],0] 0
[[16,11,5,2,1],0] 0
[[16,10,8,2],0] 0
[[16,10,7,1],0] 0
[[16,10,6,1,1],0] 0
[[16,10,6],0] 0
[[16,10,4,3,1],0] 0
[[16,10,4,2,1,1],0] 0
[[16,10,4,2],0] 0
[[16,10,3,3,3],0] 0
[[16,10,3,2,2],0] 0
[[16,10,3,1,1,1,1],0] 0
[[16,10,3,1,1],0] 0
[[16,10,3],0] 0
[[16,10,2,2,2,1],0] 0
[[16,10,2,1,1,1],0] 0
[[16,10,2,1],0] 0
[[16,9,9,1],0] 0
